         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1480      0.1701       0.000       0.014       0.011       0.171       0.002       0.051      30.488          0.03      6544.      0.2721
        0.46      0.0683      0.0592      0.1474      0.1699       0.000       0.014       0.011       0.171       0.002       0.050      30.346          0.03      6558.      0.2703
        0.91      0.1367      0.1177      0.1469      0.1703       0.000       0.014       0.011       0.171       0.002       0.050      30.164          0.03      6575.      0.2682
        1.36      0.2050      0.1753      0.1467      0.1711       0.000       0.014       0.011       0.173       0.002       0.050      29.929          0.03      6596.      0.2659
        1.81      0.2733      0.2315      0.1467      0.1726       0.000       0.014       0.011       0.174       0.002       0.050      29.630          0.03      6620.      0.2632
        2.27      0.3417      0.2860      0.1470      0.1750       0.000       0.015       0.011       0.176       0.002       0.050      29.259          0.03      6650.      0.2601
        2.71      0.4101      0.3380      0.1474      0.1781       0.000       0.015       0.011       0.179       0.002       0.050      28.810          0.03      6684.      0.2564
        3.17      0.4784      0.3873      0.1479      0.1821       0.000       0.015       0.011       0.183       0.002       0.050      28.281          0.03      6722.      0.2521
        3.62      0.5468      0.4333      0.1486      0.1869       0.000       0.016       0.011       0.189       0.002       0.051      27.675          0.03      6764.      0.2472
        4.07      0.6151      0.4756      0.1492      0.1925       0.000       0.017       0.011       0.194       0.002       0.051      26.998          0.03      6812.      0.2416
        4.53      0.6835      0.5140      0.1498      0.1987       0.000       0.017       0.011       0.200       0.002       0.051      26.263          0.03      6864.      0.2354
        4.98      0.7517      0.5485      0.1502      0.2056       0.000       0.018       0.011       0.207       0.002       0.051      25.479          0.03      6921.      0.2287
        5.44      0.8201      0.5791      0.1502      0.2127       0.000       0.019       0.011       0.214       0.002       0.052      24.662          0.03      6982.      0.2213
