QuadTailsitter_NonNacelle
T5-α0.0°-45.0m/s-TriUniform-ThinSurf-x0.3m-ViscOTF


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0            0            0            0   -3.818e-05     0.024045     0.024027   1.8577e-05  -7.2518e-10   0.00027534   0.00017989   9.5443e-05   5.9662e-08  -4.2545e-05  -4.2546e-05   1.4328e-09   -0.0015878  -9.8113e-06            0   -0.0029871       1.8813    0.0014534  -5.6736e-08   -0.0029871    0.0073329   -0.0061951    -0.021296            0            0            0     0.071453  -3.2482e+06           45      -89.909   2.1152e-06     0.001507   -0.0015084   0.00093188   4.0068e-06       2.4192    -0.019431  -1.2746e+08       84.657   7.6725e-06  -3.5579e-08      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            1            0  -3.8264e-05     0.024007     0.024144  -0.00013747     -0.01733   9.5021e-05   2.7677e-07   9.4744e-05   3.3831e-05   3.6814e-05  -1.1786e-05     4.86e-05   -0.0015939  -9.8596e-06            0   -0.0029937       1.9019    -0.010756      -1.3559   -0.0029937     0.013175      -1.0788     0.026586            0            0            0     0.071726  -3.2323e+06           45      -89.909    0.0011994   0.00052007    0.0013052    -0.000681      0.02449      -1.9184       -0.105  -1.2683e+08        84.52  -1.0414e-06   2.6058e-08      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            2            0  -3.8516e-05     0.023577     0.024183  -0.00060544    -0.034639   9.3325e-05   6.7343e-07   9.2652e-05    6.756e-05   7.3589e-05   -2.355e-05   9.7139e-05   -0.0016336  -1.0138e-05            0   -0.0030134       1.9392    -0.047368      -2.7101   -0.0030134     0.033323      -2.1513      0.16401            0            0            0     0.073512  -3.1434e+06           45      -89.906    0.0023953   0.00051079     0.002609  -7.8462e-05    0.0079356     -0.30155     -0.19066  -1.2335e+08       83.008  -2.3958e-07    3.022e-09      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            3            0  -3.8934e-05     0.022868     0.024253   -0.0013847    -0.051905   9.0829e-05   1.6604e-06   8.9168e-05   0.00010121   0.00011055  -3.5011e-05   0.00014556   -0.0017025  -1.0623e-05            0   -0.0030461       2.0018     -0.10834       -4.061   -0.0030461      0.06775      -3.2223      0.39079            0            0            0     0.076615  -2.9999e+06           45      -89.902    0.0035882   0.00049713    0.0039193  -1.0597e-05    0.0049905     -0.11996      -0.2763  -1.1772e+08       80.512  -1.0704e-07   4.1258e-10      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            4            0  -3.9519e-05     0.021771     0.024246   -0.0024745    -0.069109   0.00027042   0.00018612   8.4299e-05   0.00013473   0.00010201  -9.1792e-05    0.0001938   -0.0018152  -1.1411e-05            0   -0.0030919        2.081      -0.1936      -5.4069   -0.0030919      0.11642      -4.2906      0.70668            0            0            0     0.081682  -2.7929e+06           45      -89.896    0.0047767    0.0014801    0.0036167   1.1413e-05    0.0036745    -0.061236     -0.36181  -1.0959e+08        76.65  -6.1712e-08  -4.5104e-10      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            5            0  -4.0269e-05     0.020602     0.024475   -0.0038732    -0.086228   8.4627e-05   6.5783e-06   7.8049e-05   0.00016809    0.0001849  -5.6911e-05   0.00024181   -0.0019546  -1.2404e-05            0   -0.0031506        2.201     -0.30303      -6.7463   -0.0031506      0.17926      -5.3548       1.1113            0            0            0     0.087957  -2.5693e+06           45      -89.888    0.0059595   0.00046319    0.0065554    2.136e-05    0.0029155    -0.034779     -0.44711  -1.0082e+08       72.534  -4.0937e-08  -8.6016e-10      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            6            0  -4.1184e-05     0.019046     0.024626   -0.0055794     -0.10324   7.0999e-05    5.725e-07   7.0426e-05   0.00020125   0.00022447  -6.5057e-05   0.00028952   -0.0021623  -1.3877e-05            0   -0.0032222       2.3369     -0.43652      -8.0774   -0.0032222      0.25621      -6.4137       1.6041            0            0            0     0.097304  -2.2966e+06           45      -89.876     0.007135   0.00038859    0.0079581   2.6716e-05    0.0024184    -0.020577     -0.53207  -9.0118e+07       67.056  -2.9725e-08  -1.1003e-09      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            7            0  -4.2263e-05     0.017131     0.024722   -0.0075908     -0.12013   2.2158e-05  -3.9282e-05    6.144e-05   0.00023416   0.00026429  -7.2591e-05   0.00033688    -0.002467  -1.6038e-05            0   -0.0033066       2.4902     -0.59388      -9.3987   -0.0033066      0.34717       -7.466       2.1845            0            0            0      0.11102  -1.9871e+06           45      -89.859    0.0083017   0.00012128    0.0093701   2.9935e-05    0.0020663    -0.012064      -0.6166  -7.7973e+07       60.314  -2.3008e-08  -1.2652e-09      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            8            0  -4.3504e-05     0.015133     0.025038    -0.009905     -0.13687   6.9069e-05   1.7968e-05   5.1101e-05   0.00026678   0.00029984  -8.3989e-05   0.00038383   -0.0028748  -1.8962e-05            0   -0.0034037       2.6819     -0.77495      -10.709   -0.0034037      0.45202      -8.5103       2.8518            0            0            0      0.12937  -1.6807e+06           45      -89.835    0.0094584   0.00037803     0.010631   3.2024e-05    0.0018034   -0.0065576     -0.70059  -6.5951e+07       53.278  -1.8683e-08  -1.3932e-09      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            9            0  -4.4906e-05      0.01278     0.025299    -0.012519     -0.15345   6.0885e-05   2.1464e-05   3.9421e-05   0.00029908   0.00033828  -9.2034e-05   0.00043031   -0.0035138  -2.3547e-05            0   -0.0035134         2.89     -0.97948      -12.005   -0.0035134      0.57065      -9.5455       3.6053            0            0            0      0.15812  -1.3534e+06           45      -89.799     0.010604   0.00033324     0.011993   3.3458e-05    0.0015993   -0.0027892     -0.78395  -5.3108e+07       44.994   -1.575e-08  -1.5025e-09      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
