QuadTailsitter_NonNacelle
T1-45.0 m/s-TriUniform-ThinSurf-x0.3m-ViscOTF-333
Freestream speed = 45.000 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0           -5            0            0     -0.37322     0.034109     0.025605    0.0085042   2.0157e-09     0.023956   -0.0024754     0.026431   5.8683e-08    1.273e-07   1.1963e-07   7.6714e-09      -10.942      -6.6845            0        -29.2       2.6686      -1.8821    1.577e-07      -29.146    -0.027853    -0.019278      -20.403            0      0.56353    0.0041801       44.813      -4.7676           45      -5.2219   2.0963e-06      0.13112   4.3147e-06      0.34378   4.1515e-09    0.0033386     -0.83648      -187.08       120.09       1.6015      -0.1283       0.3379            0            0            0            0            0            0            0            0            4        0.333            0  
          0           -4            0            0     -0.29893     0.030506     0.025044    0.0054628   1.4706e-09     0.019223     -0.00198     0.021203   5.9008e-08   5.8247e-08   5.1803e-08   6.4441e-09      -9.7989      -5.3575            0      -23.388       2.3868      -1.2051   1.1506e-07       -23.36    -0.014037    -0.016464      -16.362            0      0.56353    0.0041801       44.767      -5.9485           45       -5.827   2.1029e-06      0.10521   1.9141e-06      0.34359   5.1908e-09    0.0037966     -0.67466      -233.42        107.4       1.5994     -0.10271      0.33791            0            0            0            0            0            0            0            0            4        0.333            0  
          0           -3            0            0     -0.22441     0.027714     0.024627    0.0030873   9.2337e-10     0.014474   -0.0014746     0.015948   5.9268e-08   5.0925e-09  -1.1118e-10   5.2037e-09      -8.0974      -3.8359            0      -17.557       2.1683     -0.67768   7.2243e-08      -17.546   -0.0036003    -0.013746      -12.298            0      0.56353    0.0041801       44.661      -8.3081           45      -7.0402   2.1081e-06      0.07922   7.0329e-08      0.34333   6.9203e-09    0.0046719     -0.51185      -326.01       97.573        1.595    -0.077048      0.33792            0            0            0            0            0            0            0            0            4        0.333            0  
          0           -2            0            0     -0.14972     0.025729     0.024344     0.001385   3.7453e-10    0.0096872  -0.00098768     0.010675   5.9465e-08   4.2739e-09   3.2074e-10   3.9532e-09      -5.8191      -2.2516            0      -11.714        2.013     -0.30051   2.9303e-08       -11.71    0.0034454    -0.011126      -8.2172            0      0.56353    0.0041801        44.35      -14.154           45      -9.7509   2.1118e-06     0.053021   7.7857e-08      0.34292   1.0373e-08    0.0065878     -0.34824       -555.4       90.583       1.5825    -0.051342      0.33793            0            0            0            0            0            0            0            0            4        0.333            0  
          0           -1            0            0    -0.074907     0.024545     0.024184   0.00036102  -1.7521e-10    0.0048947  -0.00049371    0.0053884   5.9596e-08   3.1589e-09   4.6359e-10   2.6953e-09      -3.0518     -0.83525            0      -5.8606       1.9204     -0.07404  -1.3708e-08      -5.8602    0.0070913   -0.0086081      -4.1232            0      0.56353    0.0041801       42.763      -38.155           45      -18.143   2.1142e-06      0.02679   7.5101e-08      0.34192    2.069e-08     0.012649     -0.18403      -1497.2       86.417       1.5197    -0.025613      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            0            0            0   -3.818e-05     0.024045     0.024027   1.8577e-05  -7.2518e-10   0.00027534   0.00017989   9.5443e-05   5.9662e-08  -4.2545e-05  -4.2546e-05   1.4328e-09   -0.0015878  -9.8113e-06            0   -0.0029871       1.8813    0.0014534  -5.6736e-08   -0.0029871    0.0073329   -0.0061951    -0.021296            0      0.56353    0.0041801     0.071453  -3.2482e+06           45      -89.909   2.1152e-06     0.001507   -0.0015084   0.00093188   4.0068e-06       2.4192    -0.019431  -1.2746e+08       84.657   7.6725e-06  -3.5579e-08      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            1            0            0     0.074831     0.024543     0.024184   0.00035866  -1.2747e-09   -0.0047037   0.00049379   -0.0051975   5.9662e-08   4.5427e-09    4.374e-09   1.6874e-10        3.049      0.83406       3.6556       5.8546       1.9202     -0.07412   -9.973e-08       5.8542    0.0041699   -0.0038899       4.0834            0      0.56353    0.0041801       42.759        38.21           45       18.158   2.1148e-06    -0.025745   1.9795e-07      0.34523   -2.089e-08    -0.012792      0.14537       1499.3       86.408       1.5266     0.025834      0.33794            0            0            0            0            0            0            0            0            4        0.333            0  
          0            2            0            0      0.14964     0.025724     0.024344    0.0013802  -1.8231e-09   -0.0094967   0.00098728    -0.010484   5.9597e-08  -1.5343e-09   -4.401e-10  -1.0942e-09       5.8172       2.2503       2.5851       11.708       2.0126     -0.30067  -1.4264e-07       11.704   -0.0023937   -0.0016953       8.1859            0      0.56353    0.0041801       44.349       14.162           45       9.7541    2.113e-06    -0.051978   1.9379e-08       0.3442   -1.041e-08   -0.0066328      0.31016       555.73       90.567       1.5863     0.051507      0.33793            0            0            0            0            0            0            0            0            4        0.333            0  
          0            3            0            0      0.22434     0.027707     0.024627    0.0030802  -2.3698e-09    -0.014283    0.0014742    -0.015758   5.9467e-08  -2.7506e-09  -3.9759e-10   -2.353e-09       8.0967       3.8349       2.1113       17.552       2.1677     -0.67792  -1.8541e-07        17.54     -0.01235   0.00038593       12.281            0      0.56353    0.0041801       44.661       8.3102           45       7.0408   2.1098e-06    -0.078176   1.2956e-08      0.34376  -6.9278e-09   -0.0046983      0.47475       326.09       97.549       1.5976     0.077119      0.33792            0            0            0            0            0            0            0            0            4        0.333            0  
          0            4            0            0      0.29885     0.030252     0.024799    0.0054534   -2.914e-09    -0.019241    0.0017704    -0.021012   5.9272e-08   4.0081e-05   4.0084e-05   -3.605e-09       9.8787       5.4005       1.8292       23.382       2.3669      -1.2054  -2.2798e-07       23.354    -0.025687    0.0023514       16.364            0      0.56353    0.0041801       44.771       5.9012           45       5.7802   2.1052e-06     -0.10531    0.0014177      0.34347  -5.1878e-09   -0.0038159      0.63894       231.56       106.51       1.6014      0.10265      0.33791            0            0            0            0            0            0            0            0            4        0.333            0  
